,ALA,CEA,CWP,NEA,NEF,NPL,NWP,SEA,SPL,SWP,CAN,USA,USC
1977,-0.34,-1.15,-2.02,0.4,0.26,-0.21,-1.55,-0.66,0.09,-1.84,-0.46,-1.6,-1.35
1977,0.18,-1.08,0.43,1.95,-0.13,0.25,0.76,0.45,0.84,-1.14,0.17,-0.35,-0.1
1977,0.11,0.09,-1.42,0.63,0.45,-0.72,-1.0,0.36,0.02,-0.87,-0.09,-0.12,-0.12
1977,0.39,-1.23,-1.77,0.68,-0.9,0.08,-0.89,-0.46,0.2,-1.11,-1.0,-1.07,-1.18
1977,0.07,-0.78,0.96,0.73,-0.6,0.75,0.55,0.3,0.81,-0.08,-0.08,-0.1,-0.11
1977,0.14,1.66,1.25,1.25,0.76,-0.66,0.65,0.92,0.51,-0.29,0.84,1.58,1.54
1977,0.97,0.18,0.45,0.44,2.11,-0.27,0.33,-0.88,-0.35,0.22,1.95,0.2,1.01
1977,0.07,0.29,0.15,-0.67,0.13,-0.55,0.21,0.61,-0.24,0.02,0.09,0.43,0.35
1977,-0.48,1.06,1.48,1.51,1.16,-0.04,0.97,0.04,0.07,0.94,1.38,0.85,1.14
1978,-0.01,0.51,1.15,-0.53,1.62,-1.18,1.07,-0.98,0.11,1.96,1.43,0.52,0.89
1978,0.84,1.71,0.97,2.21,1.23,-1.26,1.05,0.23,-0.07,1.27,1.33,1.37,1.41
1978,0.36,0.03,-0.18,0.72,-0.13,-0.89,0.07,-0.2,-0.99,1.77,-0.13,0.15,0.06
1978,-0.17,0.61,0.32,1.39,0.7,-0.8,0.6,0.14,-0.24,0.83,0.8,0.54,0.71
1978,0.14,0.67,-0.94,0.48,0.54,-0.9,-1.04,0.38,0.32,-0.04,0.1,0.48,0.32
1978,-1.09,-0.71,-0.69,0.19,0.18,-0.86,-1.62,-0.16,0.44,-1.51,-0.59,-1.08,-0.93
1978,-1.13,0.29,-0.9,0.56,0.01,-0.53,-1.36,0.4,-0.04,-0.98,-0.64,-0.52,-0.65
1978,-0.37,0.53,0.0,0.02,-0.54,0.12,0.18,-0.5,-0.25,-0.59,-0.36,-0.23,-0.34
1978,0.34,1.58,1.24,1.35,-0.28,-0.37,1.46,0.47,0.28,-0.61,0.47,1.34,1.18
1978,-0.07,0.07,-1.3,-0.32,-0.3,-0.69,-1.13,0.41,0.79,0.52,-1.07,0.2,-0.28
1978,-0.93,0.67,-1.75,-0.89,-1.52,-0.61,-1.62,1.2,0.7,0.06,-1.94,0.19,-0.71
1978,-0.78,-0.55,-1.88,0.64,-0.18,0.57,-1.86,-0.29,0.58,-0.5,-1.16,-1.07,-1.23
1979,-0.75,1.6,-1.18,-0.2,0.47,-0.02,-0.84,-0.37,0.05,0.38,-0.33,0.21,0.04
1979,-0.56,0.05,0.7,1.36,-0.13,-1.01,0.34,-0.15,0.42,0.25,0.11,-0.02,0.02
1979,-0.58,-0.3,-0.44,-1.4,0.41,-0.8,-0.59,0.25,-0.07,0.41,-0.16,-0.18,-0.19
1979,-1.54,0.03,-0.02,-0.45,0.61,-0.98,-0.6,1.02,1.17,-0.14,0.09,0.04,0.07
1979,-0.87,-0.47,-0.71,-1.41,0.46,-0.85,-0.63,-0.13,0.35,-0.18,0.1,-0.63,-0.3
