,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True
243,1985.12.10,12/10/1985,1985,Unprovoked,USA,M,,December,1985 December,False
244,1984.11.30,11/30/1984,1984,Unprovoked,AUSTRALIA,M,16.0,November,1984 November,True
245,1984.11.11,11/11/1984,1984,Unprovoked,USA,M,13.0,November,1984 November,False
246,1982.08.00,,1982,Unprovoked,TUNISIA,M,,,1982 nan,False
247,1980.10.27,10/27/1980,1980,Unprovoked,USA,M,29.0,October,1980 October,False
248,1980.08.22.R,8/22/1980,1980,Unprovoked,MEXICO,M,22.0,August,1980 August,True
249,1980.04.22,4/22/1980,1980,,PHILIPPINES,,,April,1980 April,True
250,1979.08.03,8/3/1979,1979,Unprovoked,THAILAND,M,,August,1979 August,True
251,1978.12.29,12/29/1978,1978,Unprovoked,AUSTRALIA,M,,December,1978 December,False
252,1978.01.17,1/7/1978,1978,Unprovoked,SOUTH AFRICA,M,17.0,January,1978 January,False
253,1977.12.19.a,12/19/1977,1977,Unprovoked,SOUTH AFRICA,M,18.0,December,1977 December,False
254,1976.09.12.a,9/12/1976,1976,Unprovoked,USA,M,,September,1976 September,True
255,1975.11.19.b,11/19/1975,1975,Unprovoked,AUSTRALIA,M,20.0,November,1975 November,False
256,1974.01.07.a,1/7/1974,1974,Unprovoked,MOZAMBIQUE,M,32.0,January,1974 January,True
257,1973.01.21,1/21/1973,1973,Provoked,SOUTH AFRICA,M,,January,1973 January,False
258,1971.08.21,8/21/1971,1971,Provoked,AUSTRALIA,M,26.0,August,1971 August,False
259,1969.08.29,8/29/1969,1969,Unprovoked,USA,M,,August,1969 August,False
260,1968.02.02,2/2/1968,1968,Unprovoked,AUSTRALIA,,,February,1968 February,False
261,1967.12.30,12/30/1967,1967,Unprovoked,SOUTH AFRICA,M,22.0,December,1967 December,False
262,1967.12.18,12/18/1967,1967,Unprovoked,FIJI,M,27.0,December,1967 December,False
263,1966.08.27.a,8/27/1966,1966,Unprovoked,BAHAMAS,F,18.0,August,1966 August,False
264,1965.10.10,10/10/1965,1965,Unprovoked,NEW GUINEA,M,15.0,October,1965 October,True
265,1965.00.00.e,,1965,Provoked,USA,M,,,1965 nan,False
266,1964.01.11,1/11/1964,1964,Unprovoked,USA,M,21.0,January,1964 January,False
267,1963.01.12,1/12/1963,1963,Provoked,SOUTH AFRICA,M,,January,1963 January,False
268,1962.06.10.a,6/10/1962,1962,Unprovoked,USA,M,13.0,June,1962 June,False
269,1962.03.24,3/24/1962,1962,Unprovoked,NEW GUINEA,M,10.0,March,1962 March,True
270,1962.00.00.a,,1962,Unprovoked,AUSTRALIA,M,,,1962 nan,False
271,1961.01.03.b,1/3/1961,1961,Unprovoked,SOUTH AFRICA,M,26.5,January,1961 January,False
272,2021.06.14.a,6/14/2021,2021,Unprovoked,USA,M,71.0,June,2021 June,False
273,2021.05.18,5/18/2021,2021,Unprovoked,AUSTRALIA,M,59.0,May,2021 May,True
274,2021.02.06,2/6/2021,2021,Unprovoked,USA,M,,February,2021 February,False
275,2021.01.07,1/7/2021,2021,Unprovoked,NEW ZEALAND,F,19.0,January,2021 January,True
276,2020.11.23,11/23/2020,2020,Unprovoked,NEW CALEDONIA,F,,November,2020 November,False
277,2020.08.19,8/19/2020,2020,,USA,F,,August,2020 August,False
278,2019.12.06,12/6/2019,2019,Unprovoked,AUSTRALIA,M,57.0,December,2019 December,False
279,2019.08.16.b,8/16/2019,2019,Unprovoked,FIJI,M,32.0,August,2019 August,False
280,2019.07.30.a,7/30/2019,2019,Provoked,USA,M,,July,2019 July,False
281,2019.07.27.b,7/27/2019,2019,Unprovoked,USA,M,49.0,July,2019 July,False
282,2019.06.26,6/26/2019,2019,Unprovoked,BAHAMAS,F,21.0,June,2019 June,True
283,2019.02.02.a,2/2/2019,2019,Unprovoked,USA,M,50.0,February,2019 February,False
284,2018.11.07.a,11/7/2018,2018,Unprovoked,AUSTRALIA,M,42.0,November,2018 November,False
285,2018.10.16.R,10/16/2018,2018,,SAMOA,M,,October,2018 October,False
286,2018.03.31,3/31/2018,2018,Unprovoked,USA,M,25.0,March,2018 March,False
287,2006.01.28.R,1/28/2006,2006,,ATLANTIC OCEAN,M,,January,2006 January,False
288,2005.11.02.a,11/2/2005,2005,Unprovoked,USA,M,26.0,November,2005 November,False
289,2005.08.21,8/21/2005,2005,Unprovoked,USA,M,8.0,August,2005 August,False
290,2018.01.21,1/21/2018,2018,Unprovoked,NEW CALEDONIA,M,45.0,January,2018 January,False
291,2017.10.26,10/26/2017,2017,Unprovoked,USA,M,,October,2017 October,False
292,2017.09.16.b,9/16/2017,2017,Unprovoked,SPAIN,M,13.0,September,2017 September,False
293,2017.09.13,9/13/2017,2017,Unprovoked,USA,M,18.0,September,2017 September,False
294,2017.09.06.R,9/6/2017,2017,Unprovoked,SOLOMON ISLANDS,M,,September,2017 September,False
295,2017.07.29.c,7/29/2017,2017,,USA,M,10.0,July,2017 July,False
296,2017.06.17,6/17/2017,2017,Unprovoked,SPAIN,M,82.0,June,2017 June,False
297,2017.04.02.b,4/2/2017,2017,Unprovoked,AUSTRALIA,M,39.0,April,2017 April,False
298,2017.02.17,2/17/2017,2017,Unprovoked,AUSTRALIA,M,26.0,February,2017 February,False
