,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True,Median Sea Level,Case Number Count
185,2012.10.07,10/10/2012,2012,Unprovoked,USA,M,42.0,October,2012 October,False,1.33,8
186,2012.10.18.b,10/18/2012,2012,Unprovoked,USA,M,24.0,October,2012 October,False,1.33,8
187,2012.10.30,10/30/2012,2012,Unprovoked,USA,M,25.0,October,2012 October,False,1.33,8
188,2012.10.23,10/23/2012,2012,Unprovoked,USA,M,39.0,October,2012 October,True,1.33,8
189,2012.10.19,10/19/2012,2012,Unprovoked,USA,F,35.0,October,2012 October,False,1.33,8
190,2012.06.26.b,6/26/2012,2012,Unprovoked,USA,M,26.0,June,2012 June,False,2.16,13
191,2012.06.14.b,6/14/2012,2012,Unprovoked,USA,M,,June,2012 June,False,2.16,13
192,2012.06.18,6/18/2012,2012,Unprovoked,USA,F,6.0,June,2012 June,False,2.16,13
193,2012.06.26.c,6/26/2012,2012,Unprovoked,USA,M,6.0,June,2012 June,False,2.16,13
194,2012.06.02.b,6/2/2012,2012,Unprovoked,USA,F,12.0,June,2012 June,False,2.16,13
195,2012.06.02.a,6/2/2012,2012,Unprovoked,USA,M,25.0,June,2012 June,False,2.16,13
196,2012.06.19,6/19/2012,2012,,USA,M,16.0,June,2012 June,False,2.16,13
197,2012.06.15,6/15/2012,2012,Provoked,USA,M,23.0,June,2012 June,False,2.16,13
198,2012.06.22.a,6/22/2012,2012,Unprovoked,USA,M,12.0,June,2012 June,False,2.16,13
199,2012.06.26.a,6/26/2012,2012,Unprovoked,USA,F,16.0,June,2012 June,False,2.16,13
200,2012.06.14.c,6/14/2012,2012,Unprovoked,USA,M,,June,2012 June,False,2.16,13
201,2012.06.14.a,6/14/2012,2012,Unprovoked,USA,M,16.0,June,2012 June,False,2.16,13
202,2012.06.14.d,6/14/2012,2012,Unprovoked,USA,F,18.0,June,2012 June,False,2.16,13
203,2012.03.14.a,3/14/2012,2012,Unprovoked,USA,M,17.0,March,2012 March,False,1.47,5
204,2012.03.15,3/15/2012,2012,Unprovoked,USA,M,61.0,March,2012 March,False,1.47,5
205,2012.03.24,3/24/2012,2012,Unprovoked,USA,M,21.0,March,2012 March,False,1.47,5
206,2012.03.14.b,3/14/2012,2012,Unprovoked,USA,F,15.0,March,2012 March,False,1.47,5
207,2012.03.04,3/4/2012,2012,Unprovoked,USA,M,19.0,March,2012 March,False,1.47,5
208,2011.07.13.b,7/13/2011,2011,Unprovoked,USA,M,,July,2011 July,False,2.07,5
209,2011.07.07.b,7/7/2011,2011,Unprovoked,USA,M,12.0,July,2011 July,False,2.07,5
210,2011.07.19,7/19/2011,2011,Unprovoked,USA,F,6.0,July,2011 July,False,2.07,5
211,2011.07.07.a,7/7/2011,2011,Unprovoked,USA,M,14.0,July,2011 July,False,2.07,5
212,2011.07.25,7/25/2011,2011,Unprovoked,USA,M,,July,2011 July,False,2.07,5
213,2010.11.19,11/19/2010,2010,Provoked,USA,M,33.0,November,2010 November,False,0.14,1
214,2010.08.02.b,8/2/2010,2010,,USA,M,,August,2010 August,False,-0.2,6
215,2010.08.05,8/5/2010,2010,,USA,F,,August,2010 August,False,-0.2,6
216,2010.08.14,8/14/2010,2010,,USA,M,45.0,August,2010 August,False,-0.2,6
217,2010.08.18,8/18/2010,2010,Unprovoked,USA,M,10.0,August,2010 August,False,-0.2,6
218,2010.08.07.b,8/7/2010,2010,Unprovoked,USA,M,25.0,August,2010 August,False,-0.2,6
219,2010.08.02.a,8/2/2010,2010,Unprovoked,USA,F,37.0,August,2010 August,False,-0.2,6
220,2010.02.03,2/3/2010,2010,Unprovoked,USA,M,38.0,February,2010 February,True,1.69,2
221,2010.02.06.a,2/6/2010,2010,Provoked,USA,M,,February,2010 February,False,1.69,2
222,2009.12.06,12/5/2009,2009,Provoked,USA,M,58.0,December,2009 December,False,1.44,1
223,2009.09.12,9/12/2009,2009,,USA,M,60.0,September,2009 September,True,0.92,2
224,2009.09.26,9/26/2009,2009,Unprovoked,USA,M,,September,2009 September,False,0.92,2
225,2009.07.22.b,7/22/2009,2009,Unprovoked,USA,F,26.0,July,2009 July,False,1.54,6
226,2009.07.11.a,7/11/2009,2009,Unprovoked,USA,M,,July,2009 July,False,1.54,6
227,2009.07.22.a,7/22/2009,2009,Unprovoked,USA,F,19.0,July,2009 July,False,1.54,6
228,2009.07.05,7/5/2009,2009,Unprovoked,USA,F,12.0,July,2009 July,False,1.54,6
229,2009.07.04,7/4/2009,2009,Provoked,USA,F,43.0,July,2009 July,False,1.54,6
230,2009.07.24.b,7/24/2009,2009,Unprovoked,USA,F,14.0,July,2009 July,False,1.54,6
231,2009.06.21,6/21/2009,2009,,USA,M,26.0,June,2009 June,False,1.91,2
232,2009.06.16,6/16/2009,2009,,USA,M,14.0,June,2009 June,False,1.91,2
233,2009.05.16.b,5/16/2009,2009,Unprovoked,USA,M,49.0,May,2009 May,False,0.34,4
234,2009.05.25,5/25/2009,2009,Provoked,USA,M,,May,2009 May,False,0.34,4
235,2009.05.16.a,5/16/2009,2009,Unprovoked,USA,M,55.0,May,2009 May,False,0.34,4
236,2009.05.17,5/17/2009,2009,Unprovoked,USA,M,31.0,May,2009 May,False,0.34,4
237,2009.03.18.a,3/18/2009,2009,Unprovoked,USA,F,17.0,March,2009 March,False,0.27,2
238,2009.03.17,3/17/2009,2009,Unprovoked,USA,M,61.0,March,2009 March,False,0.27,2
239,2008.12.20,12/20/2008,2008,,USA,M,,December,2008 December,False,-0.72,1
240,2008.08.30.b,8/30/2008,2008,,USA,M,27.0,August,2008 August,False,2.75,10
241,2008.08.28,8/28/2008,2008,Unprovoked,USA,M,19.0,August,2008 August,False,2.75,10
242,2008.08.24,8/24/2008,2008,Unprovoked,USA,M,20.0,August,2008 August,False,2.75,10
243,2008.08.20,8/20/2008,2008,Unprovoked,USA,M,47.0,August,2008 August,False,2.75,10
244,2008.08.22,8/24/2008,2008,,USA,F,20.0,August,2008 August,False,2.75,10
245,2008.08.16,8/16/2008,2008,Unprovoked,USA,F,38.0,August,2008 August,False,2.75,10
246,2008.08.18,8/18/2008,2008,,USA,M,7.0,August,2008 August,False,2.75,10
247,2008.08.27,8/27/2008,2008,Unprovoked,USA,M,26.0,August,2008 August,False,2.75,10
248,2008.08.12,8/12/2008,2008,Unprovoked,USA,F,13.0,August,2008 August,False,2.75,10
249,2008.08.11,8/11/2008,2008,Unprovoked,USA,M,,August,2008 August,False,2.75,10
250,2008.05.26,5/26/2008,2008,Unprovoked,USA,M,9.0,May,2008 May,False,0.99,2
251,2008.05.07.a,5/7/2008,2008,Unprovoked,USA,M,6.0,May,2008 May,False,0.99,2
252,2007.12.10,12/10/2007,2007,Unprovoked,USA,M,52.0,December,2007 December,False,-0.06,1
